0:0:0:0:0:0:0:1 - - [19/Jul/2018:10:21:02 -0400] "GET / HTTP/1.1" 200 11250
192.168.0.100 - - [19/Jul/2018:10:30:27 -0400] "GET / HTTP/1.1" 200 11250
192.168.0.100 - - [19/Jul/2018:10:33:58 -0400] "GET / HTTP/1.1" 200 11250
192.168.0.100 - - [19/Jul/2018:10:34:38 -0400] "GET / HTTP/1.1" 200 11250
192.168.0.8 - - [19/Jul/2018:10:39:17 -0400] "GET / HTTP/1.1" 200 11250
192.168.0.8 - - [19/Jul/2018:10:39:17 -0400] "GET /tomcat.css HTTP/1.1" 200 5581
192.168.0.8 - - [19/Jul/2018:10:39:17 -0400] "GET /tomcat.png HTTP/1.1" 200 5103
192.168.0.8 - - [19/Jul/2018:10:39:17 -0400] "GET /bg-middle.png HTTP/1.1" 200 1918
192.168.0.8 - - [19/Jul/2018:10:39:17 -0400] "GET /bg-upper.png HTTP/1.1" 200 3103
192.168.0.8 - - [19/Jul/2018:10:39:17 -0400] "GET /bg-nav.png HTTP/1.1" 200 1401
192.168.0.8 - - [19/Jul/2018:10:39:17 -0400] "GET /bg-button.png HTTP/1.1" 200 713
192.168.0.8 - - [19/Jul/2018:10:39:17 -0400] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
192.168.0.8 - - [19/Jul/2018:10:39:17 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.0.8 - - [19/Jul/2018:10:40:53 -0400] "GET / HTTP/1.1" 200 11250
192.168.0.8 - - [19/Jul/2018:10:40:58 -0400] "GET / HTTP/1.1" 200 11250
192.168.0.8 - - [19/Jul/2018:10:43:33 -0400] "GET / HTTP/1.1" 200 11
192.168.0.8 - - [19/Jul/2018:10:44:31 -0400] "GET / HTTP/1.1" 200 11
192.168.0.8 - - [19/Jul/2018:10:44:31 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.0.8 - - [19/Jul/2018:10:44:31 -0400] "GET / HTTP/1.1" 200 11
192.168.0.8 - - [19/Jul/2018:10:44:31 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.0.8 - - [19/Jul/2018:10:44:32 -0400] "GET / HTTP/1.1" 200 11
192.168.0.8 - - [19/Jul/2018:10:44:32 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.0.8 - - [19/Jul/2018:10:44:53 -0400] "GET / HTTP/1.1" 200 16
192.168.0.8 - - [19/Jul/2018:10:44:53 -0400] "GET /favicon.ico HTTP/1.1" 200 21630
